industry,code,topic,pillar
Retail,CN0101,Energy Management,Environmental
Retail,CN0102,Data Security,Social
Retail,CN0103,Labor Practices,Social
Retail,CN0104,Product Sourcing,Environmental
F&B & FMCG,FB0101,GHG Emissions,Environmental
F&B & FMCG,FB0102,Water Management,Environmental
F&B & FMCG,FB0103,Food Safety,Social
F&B & FMCG,FB0104,Packaging Waste,Environmental
Real Estate,RE0101,Energy in Buildings,Environmental
Real Estate,RE0102,Water Management,Environmental
Real Estate,RE0103,Tenant Health Safety,Social
Automotive,TR0101,Product Safety,Social
Automotive,TR0102,Fleet Fuel Economy,Environmental
Automotive,TR0103,Materials Sourcing,Environmental
Energy & Utilities,EU0101,GHG Emissions,Environmental
Energy & Utilities,EU0102,Air Quality,Environmental
Energy & Utilities,EU0103,Water Management,Environmental
Manufacturing,MG0101,GHG Emissions,Environmental
Manufacturing,MG0102,Energy Management,Environmental
Manufacturing,MG0103,Employee Health Safety,Social
Financial Services,FN0101,Financed Emissions,Environmental
Financial Services,FN0102,Data Security,Social
Financial Services,FN0103,Financial Inclusion,Social
Healthcare,HC0101,Energy Management,Environmental
Healthcare,HC0102,Patient Privacy,Social
Healthcare,HC0103,Drug Affordability,Social
Logistics & Transport,TR0201,GHG Emissions,Environmental
Logistics & Transport,TR0202,Air Quality,Environmental
Logistics & Transport,TR0203,Driver Conditions,Social
Hospitality & Tourism,SV0101,Energy Water Management,Environmental
Hospitality & Tourism,SV0102,Labor Practices,Social
Hospitality & Tourism,SV0103,Responsible Sourcing,Social
